,Species.ID,Length,Gear.Type,Data.Type,Year,Length Type,Sex,Special,MPA,FisheryDependent
1,ACANCH,17,SA,Survey,2016,0,0,0,0,0
2,ACANCH,22,SA,Survey,2016,0,0,0,0,0
3,ACANCH,24,SA,Survey,2016,0,0,0,0,0
4,ACANCH,24,SA,Survey,2016,0,0,0,0,0
5,ACANCH,19,SA,Survey,2016,0,0,0,0,0
6,ACANCH,23,SA,Survey,2016,0,0,0,0,0
7,ACANCH,22,SA,Survey,2016,0,0,0,0,0
8,ACANCH,25,SA,Survey,2016,0,0,0,0,0
9,ACANCH,27,SA,Survey,2016,0,0,0,0,0
10,ACANCH,22,SA,Survey,2016,0,0,0,0,0
11,ACANCH,18,SA,Survey,2016,0,0,0,0,0
12,ACANCH,18,SA,Survey,2016,0,0,0,0,0
13,ACANCH,23,SA,Survey,2016,0,0,0,0,0
14,ACANCH,25,SA,Survey,2016,0,0,0,0,0
15,ACANCH,25,SA,Survey,2016,0,0,0,0,0
16,ACANCH,24,SA,Survey,2016,0,0,0,0,0
17,ACANCH,25,SA,Survey,2016,0,0,0,0,0
18,ACANCH,26,SA,Survey,2016,0,0,0,0,0
19,ACANCH,25,SA,Survey,2016,0,0,0,0,0
20,ACANCH,25,SA,Survey,2016,0,0,0,0,0
21,ACANCH,4.53013606,SA,Survey,2016,0,0,0,0,0
22,ACANCH,5.019231856,SA,Survey,2016,0,0,0,0,0
23,ACANCH,5.703290514,SA,Survey,2016,0,0,0,0,0
24,ACANCH,4.462960583,SA,Survey,2016,0,0,0,0,0
25,ACANCH,5.276899189,SA,Survey,2016,0,0,0,0,0
26,ACANCH,5.61169933,SA,Survey,2016,0,0,0,0,0
27,ACANCH,4.98271094,SA,Survey,2016,0,0,0,0,0
28,ACANCH,6.053764857,SA,Survey,2016,0,0,0,0,0
29,ACANCH,6.953567876,SA,Survey,2016,0,0,0,0,0
30,ACANCH,4.675784095,SA,Survey,2016,0,0,0,0,0
31,ACANCH,5.164784228,SA,Survey,2016,0,0,0,0,0
32,ACANCH,5.744589981,SA,Survey,2016,0,0,0,0,0
33,ACANCH,4.721141516,SA,Survey,2016,0,0,0,0,0
34,ACANCH,18,SA,Survey,2016,0,0,0,0,0
35,ACANCH,18,SA,Survey,2016,0,0,0,0,0
36,ACANCH,25,SA,Survey,2016,0,0,0,0,0
37,ACANCH,25,SA,Survey,2016,0,0,0,0,0
38,ACANCH,25,SA,Survey,2016,0,0,0,0,0
39,ACANCH,27,SA,Survey,2016,0,0,0,0,0
40,ACANCH,21,SA,Survey,2016,0,0,0,0,0
41,ACANCH,22,SA,Survey,2016,0,0,0,0,0
42,ACANCH,22,SA,Survey,2016,0,0,0,0,0
43,ACANCH,21.69858312,SA,Survey,2016,0,0,0,0,0
44,ACANCH,22.21258736,SA,Survey,2016,0,0,0,0,0
45,ACANCH,21.11110332,SA,Survey,2016,0,0,0,0,0
46,ACANCH,21.96149677,SA,Survey,2016,0,0,0,0,0
47,ACANCH,22.16095514,SA,Survey,2016,0,0,0,0,0
48,ACANCH,24.04683877,SA,Survey,2016,0,0,0,0,0
49,ACANCH,22.62367509,SA,Survey,2016,0,0,0,0,0
50,ACANCH,24.94799724,SA,Survey,2016,0,0,0,0,0
51,ACANCH,21.94528909,SA,Survey,2016,0,0,0,0,0
